id,state,municipality,cost_category,cost_description,amount,date,department,contract_type
56,Mato Grosso,Sorriso,segurança,Gasto com segurança em Sorriso,119096.15,2025-09-18,Guarda Municipal,convênio
57,Mato Grosso,Campo Verde,administração,Gasto com administração em Campo Verde,116628.95,2025-11-09,Prefeitura,contrato direto
58,Mato Grosso,Lucas do Rio Verde,administração,Gasto com administração em Lucas do Rio Verde,181353.3,2025-03-26,Prefeitura,contrato direto
59,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,304848.81,2024-02-15,Polícia Militar,parceria
60,Mato Grosso,Sinop,infraestrutura,Gasto com infraestrutura em Sinop,1125673.38,2024-08-01,Departamento de Viação,licitação
61,Mato Grosso,Pontes e Lacerda,educação,Gasto com educação em Pontes e Lacerda,28878.56,2024-09-15,Secretaria de Educação,convênio
62,Mato Grosso,Diamantino,educação,Gasto com educação em Diamantino,24786.9,2024-12-14,Secretaria de Educação,convênio
63,Mato Grosso,Tangará da Serra,educação,Gasto com educação em Tangará da Serra,202369.83,2024-04-02,Creche,contrato direto
64,Mato Grosso,Sinop,infraestrutura,Gasto com infraestrutura em Sinop,1772829.65,2025-05-22,Secretaria de Obras,convênio
65,Mato Grosso,Sinop,segurança,Gasto com segurança em Sinop,358943.48,2024-08-25,Guarda Municipal,licitação
66,Mato Grosso,Sinop,administração,Gasto com administração em Sinop,123182.94,2025-04-04,Prefeitura,licitação
67,Mato Grosso,Nova Mutum,administração,Gasto com administração em Nova Mutum,89547.58,2025-02-17,Secretaria de Administração,contrato direto
68,Mato Grosso,Lucas do Rio Verde,educação,Gasto com educação em Lucas do Rio Verde,394321.4,2025-04-21,Creche,parceria
69,Mato Grosso,Primavera do Leste,administração,Gasto com administração em Primavera do Leste,146375.69,2024-02-14,Secretaria de Administração,convênio
70,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,429808.73,2024-04-30,Polícia Militar,parceria
71,Mato Grosso,Tangará da Serra,administração,Gasto com administração em Tangará da Serra,146182.79,2025-07-23,Secretaria de Administração,contrato direto
72,Mato Grosso,Tangará da Serra,administração,Gasto com administração em Tangará da Serra,75356.16,2025-01-03,Prefeitura,contrato direto
73,Mato Grosso,Sinop,segurança,Gasto com segurança em Sinop,272859.85,2024-11-17,Guarda Municipal,convênio
74,Mato Grosso,Sorriso,saúde,Gasto com saúde em Sorriso,18624.69,2024-06-28,Hospital Municipal,contrato direto
75,Mato Grosso,Primavera do Leste,administração,Gasto com administração em Primavera do Leste,36516.5,2024-06-29,Prefeitura,parceria
76,Mato Grosso,Pontes e Lacerda,infraestrutura,Gasto com infraestrutura em Pontes e Lacerda,1166146.16,2025-09-03,Departamento de Viação,parceria
77,Mato Grosso,Diamantino,infraestrutura,Gasto com infraestrutura em Diamantino,1225805.99,2025-06-01,Departamento de Viação,contrato direto
78,Mato Grosso,Barra do Garças,educação,Gasto com educação em Barra do Garças,246945.69,2024-12-05,Creche,licitação
79,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,211044.65,2024-03-24,Guarda Municipal,contrato direto
80,Mato Grosso,Tangará da Serra,segurança,Gasto com segurança em Tangará da Serra,41982.66,2025-01-03,Guarda Municipal,convênio
81,Mato Grosso,Primavera do Leste,administração,Gasto com administração em Primavera do Leste,58926.54,2025-06-10,Prefeitura,licitação
82,Mato Grosso,Rondonópolis,infraestrutura,Gasto com infraestrutura em Rondonópolis,1063739.69,2024-05-20,Departamento de Viação,licitação
83,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,275705.97,2024-10-27,Polícia Militar,convênio
84,Mato Grosso,Rondonópolis,educação,Gasto com educação em Rondonópolis,286081.06,2024-04-30,Creche,parceria
85,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,730389.55,2025-11-11,UBS Central,convênio
86,Mato Grosso,Lucas do Rio Verde,segurança,Gasto com segurança em Lucas do Rio Verde,94704.95,2024-04-22,Polícia Militar,convênio
87,Mato Grosso,Várzea Grande,administração,Gasto com administração em Várzea Grande,60123.53,2024-10-11,Secretaria de Administração,parceria
88,Mato Grosso,Nova Mutum,infraestrutura,Gasto com infraestrutura em Nova Mutum,509985.1,2024-06-17,Departamento de Viação,licitação
89,Mato Grosso,Diamantino,educação,Gasto com educação em Diamantino,490516.8,2025-04-24,Secretaria de Educação,parceria
90,Mato Grosso,Lucas do Rio Verde,saúde,Gasto com saúde em Lucas do Rio Verde,265019.87,2025-11-08,UBS Central,convênio
91,Mato Grosso,Alta Floresta,administração,Gasto com administração em Alta Floresta,77621.59,2025-12-29,Secretaria de Administração,contrato direto
92,Mato Grosso,Diamantino,educação,Gasto com educação em Diamantino,245045.87,2025-05-18,Creche,licitação
93,Mato Grosso,Cuiabá,segurança,Gasto com segurança em Cuiabá,162190.82,2024-06-02,Polícia Militar,licitação
94,Mato Grosso,Sinop,segurança,Gasto com segurança em Sinop,525960.27,2024-07-01,Polícia Militar,licitação
95,Mato Grosso,Barra do Garças,segurança,Gasto com segurança em Barra do Garças,488671.06,2025-02-06,Guarda Municipal,parceria
96,Mato Grosso,Lucas do Rio Verde,educação,Gasto com educação em Lucas do Rio Verde,366398.77,2024-12-20,Escola Municipal,licitação
97,Mato Grosso,Várzea Grande,segurança,Gasto com segurança em Várzea Grande,39804.87,2024-07-30,Polícia Militar,convênio
98,Mato Grosso,Alta Floresta,administração,Gasto com administração em Alta Floresta,153475.58,2025-08-23,Secretaria de Administração,convênio
99,Mato Grosso,Sorriso,educação,Gasto com educação em Sorriso,95289.73,2025-01-24,Secretaria de Educação,parceria
100,Mato Grosso,Várzea Grande,infraestrutura,Gasto com infraestrutura em Várzea Grande,1312878.68,2024-01-27,Departamento de Viação,convênio
101,Mato Grosso,Primavera do Leste,segurança,Gasto com segurança em Primavera do Leste,572152.05,2024-07-11,Polícia Militar,convênio
102,Mato Grosso,Lucas do Rio Verde,saúde,Gasto com saúde em Lucas do Rio Verde,141067.39,2025-12-15,Secretaria de Saúde,contrato direto
103,Mato Grosso,Diamantino,saúde,Gasto com saúde em Diamantino,393855.25,2025-01-18,Secretaria de Saúde,licitação
104,Mato Grosso,Campo Verde,administração,Gasto com administração em Campo Verde,139771.08,2024-10-27,Secretaria de Administração,convênio
105,Mato Grosso,Primavera do Leste,saúde,Gasto com saúde em Primavera do Leste,197124.48,2024-12-14,Hospital Municipal,licitação
106,Mato Grosso,Cuiabá,infraestrutura,Gasto com infraestrutura em Cuiabá,1506090.5,2024-08-11,Departamento de Viação,parceria
107,Mato Grosso,Nova Mutum,educação,Gasto com educação em Nova Mutum,265000.12,2024-01-13,Secretaria de Educação,licitação
108,Mato Grosso,Diamantino,saúde,Gasto com saúde em Diamantino,715337.7,2024-03-09,Secretaria de Saúde,licitação
109,Mato Grosso,Sinop,saúde,Gasto com saúde em Sinop,485756.79,2025-10-28,Hospital Municipal,contrato direto
110,Mato Grosso,Nova Mutum,infraestrutura,Gasto com infraestrutura em Nova Mutum,963047.96,2024-09-13,Departamento de Viação,contrato direto
111,Mato Grosso,Tangará da Serra,saúde,Gasto com saúde em Tangará da Serra,192114.8,2024-02-14,Secretaria de Saúde,licitação
112,Mato Grosso,Rondonópolis,administração,Gasto com administração em Rondonópolis,50589.2,2025-02-06,Secretaria de Administração,contrato direto
113,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,238771.04,2025-03-01,UBS Central,parceria
114,Mato Grosso,Campo Verde,saúde,Gasto com saúde em Campo Verde,738870.23,2024-01-27,UBS Central,contrato direto
115,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,243437.99,2024-03-16,Guarda Municipal,convênio
116,Mato Grosso,Primavera do Leste,infraestrutura,Gasto com infraestrutura em Primavera do Leste,445792.62,2025-08-13,Departamento de Viação,parceria
117,Mato Grosso,Sorriso,saúde,Gasto com saúde em Sorriso,308553.12,2024-01-08,Hospital Municipal,parceria
118,Mato Grosso,Cuiabá,administração,Gasto com administração em Cuiabá,139460.07,2024-09-12,Prefeitura,contrato direto
119,Mato Grosso,Barra do Garças,educação,Gasto com educação em Barra do Garças,343179.88,2025-06-05,Creche,licitação
120,Mato Grosso,Rondonópolis,administração,Gasto com administração em Rondonópolis,67168.93,2024-07-25,Secretaria de Administração,parceria
121,Mato Grosso,Rondonópolis,educação,Gasto com educação em Rondonópolis,151251.52,2025-11-17,Creche,parceria
122,Mato Grosso,Tangará da Serra,infraestrutura,Gasto com infraestrutura em Tangará da Serra,162056.81,2024-06-29,Secretaria de Obras,parceria
123,Mato Grosso,Campo Verde,infraestrutura,Gasto com infraestrutura em Campo Verde,1914387.96,2025-08-17,Departamento de Viação,convênio
124,Mato Grosso,Várzea Grande,administração,Gasto com administração em Várzea Grande,139940.64,2024-04-21,Prefeitura,licitação
125,Mato Grosso,Cáceres,administração,Gasto com administração em Cáceres,101596.39,2025-08-09,Secretaria de Administração,convênio
126,Mato Grosso,Sorriso,administração,Gasto com administração em Sorriso,3897.54,2025-12-25,Prefeitura,licitação
127,Mato Grosso,Sinop,administração,Gasto com administração em Sinop,36356.72,2025-10-23,Prefeitura,convênio
128,Mato Grosso,Cáceres,infraestrutura,Gasto com infraestrutura em Cáceres,914104.02,2025-02-03,Secretaria de Obras,parceria
129,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,283844.79,2024-09-06,Polícia Militar,parceria
130,Mato Grosso,Diamantino,segurança,Gasto com segurança em Diamantino,480620.23,2025-04-07,Guarda Municipal,convênio
131,Mato Grosso,Lucas do Rio Verde,administração,Gasto com administração em Lucas do Rio Verde,152986.58,2024-09-12,Prefeitura,parceria
132,Mato Grosso,Barra do Garças,administração,Gasto com administração em Barra do Garças,63554.22,2024-08-14,Prefeitura,contrato direto
133,Mato Grosso,Tangará da Serra,educação,Gasto com educação em Tangará da Serra,330466.67,2025-07-07,Secretaria de Educação,parceria
134,Mato Grosso,Rondonópolis,saúde,Gasto com saúde em Rondonópolis,381537.08,2024-09-03,Secretaria de Saúde,contrato direto
135,Mato Grosso,Diamantino,saúde,Gasto com saúde em Diamantino,630580.54,2025-08-01,Secretaria de Saúde,parceria
136,Mato Grosso,Tangará da Serra,educação,Gasto com educação em Tangará da Serra,329000.89,2024-02-23,Secretaria de Educação,contrato direto
137,Mato Grosso,Diamantino,segurança,Gasto com segurança em Diamantino,397279.86,2024-04-29,Guarda Municipal,convênio
138,Mato Grosso,Primavera do Leste,segurança,Gasto com segurança em Primavera do Leste,284095.81,2025-06-11,Polícia Militar,contrato direto
139,Mato Grosso,Várzea Grande,infraestrutura,Gasto com infraestrutura em Várzea Grande,355010.44,2025-06-05,Departamento de Viação,convênio
140,Mato Grosso,Sinop,saúde,Gasto com saúde em Sinop,628322.54,2025-03-29,Secretaria de Saúde,parceria
141,Mato Grosso,Várzea Grande,saúde,Gasto com saúde em Várzea Grande,267286.85,2024-09-27,UBS Central,licitação
142,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,428247.23,2025-09-18,Polícia Militar,parceria
143,Mato Grosso,Sorriso,administração,Gasto com administração em Sorriso,130954.06,2025-12-28,Secretaria de Administração,contrato direto
144,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,177720.99,2024-12-12,Guarda Municipal,convênio
145,Mato Grosso,Alta Floresta,educação,Gasto com educação em Alta Floresta,404342.83,2025-03-24,Escola Municipal,parceria
146,Mato Grosso,Pontes e Lacerda,infraestrutura,Gasto com infraestrutura em Pontes e Lacerda,816806.0,2025-09-05,Departamento de Viação,parceria
147,Mato Grosso,Tangará da Serra,educação,Gasto com educação em Tangará da Serra,52195.3,2024-04-23,Secretaria de Educação,contrato direto
148,Mato Grosso,Barra do Garças,administração,Gasto com administração em Barra do Garças,81935.75,2025-07-11,Secretaria de Administração,parceria
149,Mato Grosso,Pontes e Lacerda,administração,Gasto com administração em Pontes e Lacerda,46790.59,2025-11-12,Secretaria de Administração,convênio
150,Mato Grosso,Sinop,infraestrutura,Gasto com infraestrutura em Sinop,617649.22,2024-03-21,Departamento de Viação,contrato direto
151,Mato Grosso,Alta Floresta,administração,Gasto com administração em Alta Floresta,152839.4,2025-12-13,Prefeitura,convênio
152,Mato Grosso,Primavera do Leste,saúde,Gasto com saúde em Primavera do Leste,596022.06,2024-11-12,Hospital Municipal,parceria
153,Mato Grosso,Sorriso,infraestrutura,Gasto com infraestrutura em Sorriso,586247.81,2025-02-19,Departamento de Viação,parceria
154,Mato Grosso,Campo Verde,infraestrutura,Gasto com infraestrutura em Campo Verde,1295390.57,2024-10-07,Departamento de Viação,licitação
155,Mato Grosso,Sorriso,educação,Gasto com educação em Sorriso,399319.48,2024-01-16,Creche,parceria
156,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,320042.19,2025-07-31,UBS Central,parceria
157,Mato Grosso,Alta Floresta,administração,Gasto com administração em Alta Floresta,65127.07,2025-04-17,Secretaria de Administração,contrato direto
158,Mato Grosso,Primavera do Leste,infraestrutura,Gasto com infraestrutura em Primavera do Leste,1772707.68,2025-08-31,Departamento de Viação,contrato direto
159,Mato Grosso,Lucas do Rio Verde,saúde,Gasto com saúde em Lucas do Rio Verde,580468.39,2025-01-22,Secretaria de Saúde,contrato direto
160,Mato Grosso,Barra do Garças,infraestrutura,Gasto com infraestrutura em Barra do Garças,575881.68,2025-08-11,Secretaria de Obras,parceria
161,Mato Grosso,Nova Mutum,administração,Gasto com administração em Nova Mutum,63350.61,2025-06-08,Prefeitura,contrato direto
162,Mato Grosso,Lucas do Rio Verde,educação,Gasto com educação em Lucas do Rio Verde,437240.75,2025-12-17,Creche,licitação
163,Mato Grosso,Alta Floresta,segurança,Gasto com segurança em Alta Floresta,559305.06,2024-08-11,Guarda Municipal,contrato direto
164,Mato Grosso,Tangará da Serra,administração,Gasto com administração em Tangará da Serra,143107.79,2025-11-08,Prefeitura,parceria
165,Mato Grosso,Lucas do Rio Verde,segurança,Gasto com segurança em Lucas do Rio Verde,256214.61,2025-04-30,Polícia Militar,licitação
166,Mato Grosso,Sorriso,segurança,Gasto com segurança em Sorriso,220866.95,2024-02-13,Guarda Municipal,convênio
167,Mato Grosso,Diamantino,segurança,Gasto com segurança em Diamantino,175366.98,2024-01-17,Guarda Municipal,contrato direto
168,Mato Grosso,Rondonópolis,administração,Gasto com administração em Rondonópolis,72793.46,2025-07-04,Secretaria de Administração,licitação
169,Mato Grosso,Alta Floresta,administração,Gasto com administração em Alta Floresta,84779.52,2024-06-04,Prefeitura,licitação
170,Mato Grosso,Cuiabá,segurança,Gasto com segurança em Cuiabá,178115.12,2025-08-26,Polícia Militar,contrato direto
171,Mato Grosso,Diamantino,infraestrutura,Gasto com infraestrutura em Diamantino,1595884.34,2025-03-20,Departamento de Viação,contrato direto
172,Mato Grosso,Cáceres,infraestrutura,Gasto com infraestrutura em Cáceres,771358.49,2024-06-09,Secretaria de Obras,parceria
173,Mato Grosso,Várzea Grande,saúde,Gasto com saúde em Várzea Grande,549629.44,2025-09-29,Hospital Municipal,parceria
174,Mato Grosso,Tangará da Serra,segurança,Gasto com segurança em Tangará da Serra,357622.09,2025-03-05,Guarda Municipal,convênio
175,Mato Grosso,Barra do Garças,infraestrutura,Gasto com infraestrutura em Barra do Garças,478027.41,2024-10-17,Departamento de Viação,convênio
176,Mato Grosso,Tangará da Serra,administração,Gasto com administração em Tangará da Serra,77527.48,2024-05-10,Secretaria de Administração,convênio
177,Mato Grosso,Barra do Garças,segurança,Gasto com segurança em Barra do Garças,325659.52,2024-04-17,Polícia Militar,convênio
178,Mato Grosso,Alta Floresta,segurança,Gasto com segurança em Alta Floresta,583008.16,2024-10-19,Polícia Militar,licitação
179,Mato Grosso,Alta Floresta,infraestrutura,Gasto com infraestrutura em Alta Floresta,992796.8,2024-12-22,Departamento de Viação,convênio
180,Mato Grosso,Cáceres,segurança,Gasto com segurança em Cáceres,529237.08,2024-06-05,Guarda Municipal,convênio
181,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,83999.1,2024-02-02,Guarda Municipal,contrato direto
182,Mato Grosso,Cáceres,saúde,Gasto com saúde em Cáceres,186512.78,2025-10-30,UBS Central,licitação
183,Mato Grosso,Sorriso,administração,Gasto com administração em Sorriso,115041.67,2025-11-13,Secretaria de Administração,contrato direto
184,Mato Grosso,Cáceres,saúde,Gasto com saúde em Cáceres,168726.86,2025-12-16,Hospital Municipal,convênio
185,Mato Grosso,Lucas do Rio Verde,infraestrutura,Gasto com infraestrutura em Lucas do Rio Verde,524037.08,2024-04-30,Secretaria de Obras,licitação
186,Mato Grosso,Lucas do Rio Verde,segurança,Gasto com segurança em Lucas do Rio Verde,264879.53,2024-06-28,Polícia Militar,contrato direto
187,Mato Grosso,Pontes e Lacerda,saúde,Gasto com saúde em Pontes e Lacerda,180645.06,2025-08-03,Secretaria de Saúde,parceria
188,Mato Grosso,Primavera do Leste,administração,Gasto com administração em Primavera do Leste,132604.75,2025-04-28,Secretaria de Administração,licitação
189,Mato Grosso,Sorriso,saúde,Gasto com saúde em Sorriso,349640.09,2024-07-27,Hospital Municipal,contrato direto
190,Mato Grosso,Sorriso,infraestrutura,Gasto com infraestrutura em Sorriso,957026.67,2025-02-12,Secretaria de Obras,parceria
191,Mato Grosso,Sorriso,infraestrutura,Gasto com infraestrutura em Sorriso,204703.5,2024-08-19,Departamento de Viação,parceria
192,Mato Grosso,Sorriso,segurança,Gasto com segurança em Sorriso,527103.21,2025-03-04,Polícia Militar,contrato direto
193,Mato Grosso,Rondonópolis,infraestrutura,Gasto com infraestrutura em Rondonópolis,1332732.91,2024-06-01,Secretaria de Obras,convênio
194,Mato Grosso,Alta Floresta,infraestrutura,Gasto com infraestrutura em Alta Floresta,451273.62,2025-10-24,Secretaria de Obras,contrato direto
195,Mato Grosso,Lucas do Rio Verde,administração,Gasto com administração em Lucas do Rio Verde,95276.81,2024-01-28,Prefeitura,contrato direto
196,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,369853.97,2025-09-29,Hospital Municipal,licitação
197,Mato Grosso,Cuiabá,educação,Gasto com educação em Cuiabá,110736.63,2025-05-24,Creche,convênio
198,Mato Grosso,Primavera do Leste,saúde,Gasto com saúde em Primavera do Leste,462720.32,2024-08-28,Hospital Municipal,contrato direto
199,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,54650.85,2024-11-24,Polícia Militar,convênio
200,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,621677.59,2025-09-14,UBS Central,contrato direto
201,Mato Grosso,Nova Mutum,saúde,Gasto com saúde em Nova Mutum,550159.05,2025-08-11,UBS Central,convênio
202,Mato Grosso,Campo Verde,segurança,Gasto com segurança em Campo Verde,556308.05,2025-05-03,Guarda Municipal,convênio
203,Mato Grosso,Barra do Garças,segurança,Gasto com segurança em Barra do Garças,443341.37,2024-08-27,Polícia Militar,parceria
204,Mato Grosso,Primavera do Leste,segurança,Gasto com segurança em Primavera do Leste,110536.24,2025-01-11,Guarda Municipal,parceria
205,Mato Grosso,Pontes e Lacerda,administração,Gasto com administração em Pontes e Lacerda,84719.38,2024-08-19,Prefeitura,parceria
206,Mato Grosso,Alta Floresta,infraestrutura,Gasto com infraestrutura em Alta Floresta,1406476.39,2025-01-28,Secretaria de Obras,licitação
207,Mato Grosso,Várzea Grande,segurança,Gasto com segurança em Várzea Grande,426373.76,2024-05-24,Guarda Municipal,parceria
208,Mato Grosso,Tangará da Serra,segurança,Gasto com segurança em Tangará da Serra,578592.09,2024-02-10,Polícia Militar,convênio
209,Mato Grosso,Várzea Grande,infraestrutura,Gasto com infraestrutura em Várzea Grande,658314.43,2025-12-10,Departamento de Viação,contrato direto
210,Mato Grosso,Alta Floresta,segurança,Gasto com segurança em Alta Floresta,279025.1,2024-10-28,Polícia Militar,parceria
211,Mato Grosso,Lucas do Rio Verde,administração,Gasto com administração em Lucas do Rio Verde,120892.53,2025-04-02,Secretaria de Administração,contrato direto
212,Mato Grosso,Primavera do Leste,educação,Gasto com educação em Primavera do Leste,408642.76,2025-11-22,Creche,contrato direto
213,Mato Grosso,Diamantino,administração,Gasto com administração em Diamantino,182608.33,2025-07-20,Prefeitura,convênio
214,Mato Grosso,Alta Floresta,educação,Gasto com educação em Alta Floresta,387867.28,2024-03-31,Escola Municipal,parceria
215,Mato Grosso,Tangará da Serra,saúde,Gasto com saúde em Tangará da Serra,387181.36,2025-10-08,Hospital Municipal,contrato direto
216,Mato Grosso,Lucas do Rio Verde,administração,Gasto com administração em Lucas do Rio Verde,34106.79,2024-02-12,Secretaria de Administração,convênio
217,Mato Grosso,Alta Floresta,administração,Gasto com administração em Alta Floresta,14487.13,2025-10-20,Secretaria de Administração,parceria
