id,state,municipality,cost_category,cost_description,amount,date,department,contract_type
111,Mato Grosso,Colíder,saúde,Manutenção de hospitais,192233.09,2024-02-19,Hospital Municipal,convênio
112,Mato Grosso,Barra do Garças,infraestrutura,Iluminação pública,605069.87,2025-02-13,Departamento de Viação,parceria
113,Mato Grosso,Guarantã do Norte,educação,Salários de professores,130081.7,2025-05-16,Creche,contrato direto
114,Mato Grosso,Guarantã do Norte,administração,Aluguel de imóveis,52923.72,2024-09-26,Prefeitura,parceria
115,Mato Grosso,Sinop,administração,Consultoria,70223.31,2025-03-20,RH,contrato direto
116,Mato Grosso,Guarantã do Norte,segurança,Viaturas policiais,43382.75,2025-06-26,Guarda Municipal,parceria
117,Mato Grosso,Tangará da Serra,infraestrutura,Construção de pontes,499104.16,2024-05-05,Secretaria de Obras,convênio
118,Mato Grosso,Guarantã do Norte,segurança,Sistemas de vigilância,288766.77,2025-03-26,Trânsito,convênio
119,Mato Grosso,Primavera do Leste,administração,Consultoria,92956.08,2024-04-09,Contadoria,licitação
120,Mato Grosso,Tangará da Serra,segurança,Viaturas policiais,101231.73,2025-06-05,Polícia Civil,contrato direto
121,Mato Grosso,Cáceres,infraestrutura,Iluminação pública,591025.44,2024-02-04,Secretaria de Obras,parceria
122,Mato Grosso,Cáceres,administração,Material de escritório,2434.63,2024-04-16,Prefeitura,convênio
123,Mato Grosso,Rondonópolis,infraestrutura,Saneamento básico,217864.38,2025-03-21,Saneamento,convênio
124,Mato Grosso,Alta Floresta,segurança,Viaturas policiais,52982.4,2024-08-17,Polícia Militar,licitação
125,Mato Grosso,Cáceres,segurança,Treinamento de agentes,220188.41,2025-10-08,Guarda Municipal,convênio
126,Mato Grosso,Água Boa,administração,Material de escritório,63864.27,2025-03-30,RH,contrato direto
127,Mato Grosso,Diamantino,educação,Construção de escolas,83980.53,2025-05-25,Secretaria de Educação,parceria
128,Mato Grosso,Rondonópolis,segurança,Treinamento de agentes,476103.1,2024-11-13,Guarda Municipal,parceria
129,Mato Grosso,Rondonópolis,saúde,Compra de medicamentos,473854.05,2024-12-24,Hospital Municipal,parceria
130,Mato Grosso,Colíder,infraestrutura,Iluminação pública,128497.66,2024-06-05,Saneamento,contrato direto
131,Mato Grosso,Alta Floresta,educação,Construção de escolas,12515.56,2025-09-14,Creche,licitação
132,Mato Grosso,Tangará da Serra,infraestrutura,Saneamento básico,73479.71,2024-07-21,Departamento de Viação,licitação
133,Mato Grosso,Barra do Garças,administração,Serviços de limpeza,60291.95,2025-07-29,RH,parceria
134,Mato Grosso,Sinop,infraestrutura,Iluminação pública,916288.16,2024-02-17,Energia,parceria
135,Mato Grosso,Rondonópolis,administração,Aluguel de imóveis,83403.93,2025-04-23,Secretaria de Administração,licitação
136,Mato Grosso,Água Boa,educação,Transporte estudantil,127388.7,2024-10-09,Universidade Estadual,licitação
137,Mato Grosso,Sorriso,educação,Transporte estudantil,53639.02,2025-02-19,Universidade Estadual,convênio
138,Mato Grosso,Diamantino,educação,Transporte estudantil,188159.99,2025-11-17,Universidade Estadual,licitação
139,Mato Grosso,Juína,segurança,Treinamento de agentes,545452.58,2024-05-22,Polícia Civil,contrato direto
140,Mato Grosso,Pontes e Lacerda,educação,Material escolar,121571.21,2025-10-03,Secretaria de Educação,convênio
141,Mato Grosso,Nova Mutum,saúde,Compra de medicamentos,450109.13,2025-02-24,Secretaria de Saúde,parceria
142,Mato Grosso,Cáceres,administração,Consultoria,18883.23,2025-05-10,RH,licitação
143,Mato Grosso,Cuiabá,segurança,Treinamento de agentes,129353.32,2024-02-13,Polícia Civil,contrato direto
144,Mato Grosso,Sorriso,saúde,Manutenção de hospitais,276443.43,2025-01-15,SAMU,parceria
145,Mato Grosso,Várzea Grande,saúde,Compra de medicamentos,64436.82,2025-02-15,Hospital Municipal,convênio
146,Mato Grosso,Nova Mutum,segurança,Equipamentos de segurança,281428.51,2025-04-19,Polícia Civil,contrato direto
147,Mato Grosso,Colíder,infraestrutura,Saneamento básico,400124.66,2024-11-05,Saneamento,parceria
148,Mato Grosso,Cuiabá,saúde,Compra de medicamentos,487593.38,2025-06-26,Secretaria de Saúde,licitação
149,Mato Grosso,Pontes e Lacerda,infraestrutura,Iluminação pública,533079.95,2024-07-10,Secretaria de Obras,contrato direto
150,Mato Grosso,Juína,segurança,Equipamentos de segurança,771001.62,2025-11-15,Trânsito,parceria
151,Mato Grosso,Rondonópolis,educação,Transporte estudantil,163236.96,2024-09-13,Universidade Estadual,parceria
152,Mato Grosso,Guarantã do Norte,segurança,Sistemas de vigilância,755888.77,2025-09-20,Guarda Municipal,parceria
153,Mato Grosso,Várzea Grande,segurança,Viaturas policiais,349069.21,2025-12-07,Polícia Militar,convênio
154,Mato Grosso,Cuiabá,saúde,Equipamentos hospitalares,466366.01,2024-10-11,Secretaria de Saúde,parceria
155,Mato Grosso,Barra do Garças,infraestrutura,Asfalto de vias,674850.82,2024-11-29,Saneamento,licitação
156,Mato Grosso,Várzea Grande,administração,Serviços de limpeza,43023.4,2025-10-08,RH,parceria
157,Mato Grosso,Tangará da Serra,administração,Aluguel de imóveis,21596.52,2025-07-19,Contadoria,licitação
158,Mato Grosso,Lucas do Rio Verde,segurança,Treinamento de agentes,178869.62,2025-01-22,Trânsito,contrato direto
159,Mato Grosso,Cáceres,administração,Consultoria,34679.34,2024-10-20,Prefeitura,contrato direto
160,Mato Grosso,Guarantã do Norte,saúde,Compra de medicamentos,428301.75,2025-04-17,Posto de Saúde,licitação
161,Mato Grosso,Cuiabá,administração,Aluguel de imóveis,13489.11,2024-09-09,Secretaria de Administração,parceria
162,Mato Grosso,Diamantino,administração,Serviços de limpeza,35015.54,2025-02-06,RH,licitação
163,Mato Grosso,Diamantino,segurança,Equipamentos de segurança,85407.62,2024-05-28,Polícia Civil,parceria
164,Mato Grosso,Sorriso,infraestrutura,Saneamento básico,322842.38,2024-03-28,Saneamento,parceria
165,Mato Grosso,Peixoto de Azevedo,infraestrutura,Asfalto de vias,159992.84,2024-03-24,Departamento de Viação,parceria
166,Mato Grosso,Alta Floresta,saúde,Equipamentos hospitalares,119306.67,2025-03-04,Secretaria de Saúde,parceria
167,Mato Grosso,Cáceres,segurança,Viaturas policiais,393744.87,2024-12-06,Polícia Militar,licitação
168,Mato Grosso,Pontes e Lacerda,infraestrutura,Construção de pontes,808887.14,2025-04-08,Saneamento,convênio
169,Mato Grosso,Cáceres,educação,Salários de professores,4572.65,2025-05-04,Universidade Estadual,licitação
170,Mato Grosso,Diamantino,saúde,Contratação de médicos,39912.91,2024-05-22,SAMU,convênio
171,Mato Grosso,Campo Verde,administração,Consultoria,66828.38,2025-12-15,Contadoria,convênio
172,Mato Grosso,Cuiabá,infraestrutura,Saneamento básico,661894.37,2025-11-16,Energia,parceria
173,Mato Grosso,Cuiabá,infraestrutura,Construção de pontes,381900.1,2025-06-07,Secretaria de Obras,licitação
174,Mato Grosso,Pontes e Lacerda,infraestrutura,Iluminação pública,554056.52,2025-10-07,Energia,licitação
175,Mato Grosso,Pontes e Lacerda,infraestrutura,Construção de pontes,562129.56,2024-06-04,Saneamento,parceria
176,Mato Grosso,Tangará da Serra,educação,Construção de escolas,22958.89,2025-12-16,Creche,licitação
177,Mato Grosso,Campo Verde,administração,Aluguel de imóveis,64068.94,2025-10-02,Prefeitura,parceria
178,Mato Grosso,Cáceres,infraestrutura,Saneamento básico,224944.35,2025-04-26,Departamento de Viação,licitação
179,Mato Grosso,Lucas do Rio Verde,administração,Material de escritório,11796.39,2024-05-13,Contadoria,parceria
180,Mato Grosso,Peixoto de Azevedo,infraestrutura,Construção de pontes,262980.28,2024-06-10,Energia,convênio
181,Mato Grosso,Barra do Garças,infraestrutura,Saneamento básico,662369.3,2024-05-22,Departamento de Viação,licitação
182,Mato Grosso,Barra do Garças,infraestrutura,Construção de pontes,135616.4,2025-08-27,Secretaria de Obras,licitação
183,Mato Grosso,Primavera do Leste,saúde,Compra de medicamentos,496819.11,2024-01-28,Secretaria de Saúde,contrato direto
184,Mato Grosso,Sorriso,administração,Serviços de limpeza,51326.3,2024-12-14,Contadoria,convênio
185,Mato Grosso,Cáceres,administração,Aluguel de imóveis,66293.23,2025-09-04,RH,convênio
186,Mato Grosso,Tangará da Serra,segurança,Viaturas policiais,50596.76,2024-11-19,Trânsito,parceria
187,Mato Grosso,Alta Floresta,saúde,Manutenção de hospitais,25727.99,2024-05-13,SAMU,parceria
188,Mato Grosso,Pontes e Lacerda,segurança,Viaturas policiais,26142.88,2025-11-03,Polícia Civil,parceria
189,Mato Grosso,Campo Verde,educação,Material escolar,46158.56,2025-02-24,Secretaria de Educação,convênio
190,Mato Grosso,Barra do Garças,infraestrutura,Asfalto de vias,932095.44,2024-02-20,Saneamento,parceria
191,Mato Grosso,Cáceres,saúde,Manutenção de hospitais,216751.35,2025-11-20,Secretaria de Saúde,licitação
192,Mato Grosso,Primavera do Leste,administração,Aluguel de imóveis,94631.62,2025-12-19,Prefeitura,contrato direto
193,Mato Grosso,Primavera do Leste,segurança,Equipamentos de segurança,560597.54,2024-12-10,Polícia Militar,contrato direto
194,Mato Grosso,Várzea Grande,administração,Aluguel de imóveis,82551.79,2024-05-05,RH,contrato direto
195,Mato Grosso,Colíder,saúde,Equipamentos hospitalares,255419.81,2025-04-18,SAMU,licitação
196,Mato Grosso,Campo Verde,segurança,Equipamentos de segurança,733951.88,2024-07-02,Guarda Municipal,convênio
197,Mato Grosso,Rondonópolis,educação,Transporte estudantil,148078.07,2024-12-10,Creche,contrato direto
198,Mato Grosso,Cuiabá,educação,Salários de professores,157382.99,2025-09-19,Universidade Estadual,parceria
199,Mato Grosso,Alta Floresta,segurança,Treinamento de agentes,529521.34,2025-12-07,Trânsito,contrato direto
200,Mato Grosso,Peixoto de Azevedo,educação,Construção de escolas,41324.33,2025-08-17,Escola Municipal,convênio
201,Mato Grosso,Cáceres,educação,Salários de professores,17029.15,2024-07-01,Universidade Estadual,licitação
202,Mato Grosso,Lucas do Rio Verde,educação,Material escolar,127795.19,2025-12-21,Universidade Estadual,convênio
203,Mato Grosso,Guarantã do Norte,infraestrutura,Iluminação pública,557155.03,2024-03-05,Saneamento,convênio
204,Mato Grosso,Juína,administração,Serviços de limpeza,88137.14,2025-12-02,Prefeitura,licitação
205,Mato Grosso,Nova Mutum,educação,Salários de professores,76093.04,2024-12-13,Escola Municipal,convênio
206,Mato Grosso,Pontes e Lacerda,saúde,Manutenção de hospitais,344748.69,2024-09-25,Posto de Saúde,contrato direto
207,Mato Grosso,Colíder,educação,Material escolar,191289.94,2025-08-14,Creche,contrato direto
208,Mato Grosso,Sorriso,segurança,Sistemas de vigilância,236280.67,2024-02-19,Polícia Civil,contrato direto
209,Mato Grosso,Lucas do Rio Verde,educação,Material escolar,184550.29,2025-09-08,Universidade Estadual,convênio
210,Mato Grosso,Água Boa,segurança,Viaturas policiais,389399.6,2025-07-31,Polícia Militar,contrato direto
211,Mato Grosso,Guarantã do Norte,saúde,Contratação de médicos,99654.23,2024-08-31,Hospital Municipal,licitação
212,Mato Grosso,Campo Verde,saúde,Compra de medicamentos,359214.22,2024-01-25,Posto de Saúde,contrato direto
213,Mato Grosso,Pontes e Lacerda,infraestrutura,Asfalto de vias,626404.86,2024-03-27,Departamento de Viação,parceria
214,Mato Grosso,Barra do Garças,infraestrutura,Construção de pontes,562220.97,2025-11-22,Energia,convênio
215,Mato Grosso,Nova Mutum,administração,Aluguel de imóveis,76592.64,2024-12-12,Contadoria,contrato direto
216,Mato Grosso,Cáceres,infraestrutura,Saneamento básico,543626.01,2025-01-05,Departamento de Viação,parceria
217,Mato Grosso,Nova Mutum,educação,Material escolar,28521.33,2025-06-13,Secretaria de Educação,convênio
218,Mato Grosso,Cáceres,segurança,Equipamentos de segurança,794856.72,2025-06-11,Polícia Civil,convênio
219,Mato Grosso,Rondonópolis,segurança,Equipamentos de segurança,69089.1,2024-06-18,Polícia Militar,parceria
220,Mato Grosso,Peixoto de Azevedo,administração,Material de escritório,3934.71,2024-07-20,RH,convênio
221,Mato Grosso,Cáceres,saúde,Compra de medicamentos,73809.78,2025-02-15,SAMU,contrato direto
222,Mato Grosso,Campo Verde,infraestrutura,Construção de pontes,17134.4,2025-11-06,Energia,licitação
223,Mato Grosso,Água Boa,infraestrutura,Asfalto de vias,88362.79,2025-01-03,Secretaria de Obras,parceria
224,Mato Grosso,Diamantino,saúde,Manutenção de hospitais,309117.32,2024-09-26,Hospital Municipal,parceria
225,Mato Grosso,Sinop,segurança,Equipamentos de segurança,325537.57,2024-08-24,Trânsito,contrato direto
226,Mato Grosso,Barra do Garças,educação,Salários de professores,106583.13,2024-10-12,Universidade Estadual,parceria
227,Mato Grosso,Lucas do Rio Verde,administração,Aluguel de imóveis,97470.25,2025-10-28,RH,licitação
228,Mato Grosso,Colíder,segurança,Equipamentos de segurança,60432.13,2024-10-11,Polícia Militar,convênio
229,Mato Grosso,Rondonópolis,saúde,Compra de medicamentos,34704.61,2024-09-20,Hospital Municipal,contrato direto
230,Mato Grosso,Cáceres,educação,Construção de escolas,89269.06,2024-11-27,Universidade Estadual,licitação
231,Mato Grosso,Juína,infraestrutura,Saneamento básico,132315.69,2025-02-12,Energia,convênio
232,Mato Grosso,Peixoto de Azevedo,segurança,Treinamento de agentes,415079.08,2024-05-03,Polícia Militar,parceria
233,Mato Grosso,Colíder,saúde,Contratação de médicos,210299.39,2024-03-04,Hospital Municipal,contrato direto
234,Mato Grosso,Diamantino,saúde,Manutenção de hospitais,255839.14,2025-01-03,Hospital Municipal,convênio
235,Mato Grosso,Sorriso,infraestrutura,Asfalto de vias,610307.59,2024-10-05,Departamento de Viação,contrato direto
236,Mato Grosso,Colíder,administração,Aluguel de imóveis,16923.89,2025-04-12,Secretaria de Administração,contrato direto
237,Mato Grosso,Pontes e Lacerda,saúde,Contratação de médicos,179102.02,2025-12-08,SAMU,contrato direto
238,Mato Grosso,Alta Floresta,infraestrutura,Construção de pontes,729187.93,2025-01-19,Energia,contrato direto
239,Mato Grosso,Campo Verde,saúde,Manutenção de hospitais,280177.41,2025-08-02,Posto de Saúde,parceria
240,Mato Grosso,Sorriso,administração,Aluguel de imóveis,63537.54,2024-06-09,RH,parceria
241,Mato Grosso,Diamantino,infraestrutura,Asfalto de vias,157333.02,2025-02-21,Departamento de Viação,convênio
242,Mato Grosso,Juína,saúde,Equipamentos hospitalares,459976.36,2024-09-05,Secretaria de Saúde,convênio
243,Mato Grosso,Rondonópolis,saúde,Compra de medicamentos,221866.56,2024-03-02,SAMU,parceria
244,Mato Grosso,Barra do Garças,educação,Construção de escolas,189556.5,2025-06-24,Creche,contrato direto
245,Mato Grosso,Sinop,administração,Aluguel de imóveis,46984.26,2025-09-28,RH,convênio
246,Mato Grosso,Juína,educação,Salários de professores,185659.93,2024-05-29,Creche,convênio
247,Mato Grosso,Tangará da Serra,infraestrutura,Construção de pontes,60909.16,2025-07-10,Departamento de Viação,contrato direto
248,Mato Grosso,Nova Mutum,educação,Salários de professores,118438.28,2025-11-03,Universidade Estadual,licitação
249,Mato Grosso,Pontes e Lacerda,infraestrutura,Construção de pontes,130828.27,2024-10-18,Saneamento,licitação
250,Mato Grosso,Diamantino,administração,Serviços de limpeza,81697.64,2026-01-04,Contadoria,parceria
251,Mato Grosso,Juína,educação,Material escolar,109552.3,2025-04-28,Universidade Estadual,contrato direto
252,Mato Grosso,Guarantã do Norte,saúde,Manutenção de hospitais,307373.04,2024-06-27,Posto de Saúde,parceria
